Source,Label,Weight,Target
Afghanistan,Gunmen,9,Algeria
Afghanistan,Gunmen,9,Angola
Afghanistan,Gunmen,9,Argentina
Afghanistan,Gunmen,9,Bangladesh
Afghanistan,Gunmen,9,Brazil
Afghanistan,Gunmen,9,Cambodia
Afghanistan,Gunmen,9,Canada
Afghanistan,Gunmen,9,Central African Republic
Afghanistan,Gunmen,9,Chad
Afghanistan,Gunmen,9,Colombia
Afghanistan,Gunmen,9,Costa Rica
Afghanistan,Gunmen,9,Democratic Republic of the Congo
Afghanistan,Gunmen,9,El Salvador
Afghanistan,Gunmen,9,Georgia
Afghanistan,Gunmen,9,Guatemala
Afghanistan,Gunmen,9,Guyana
Afghanistan,Gunmen,9,Haiti
Afghanistan,Gunmen,9,Honduras
Afghanistan,Gunmen,9,India
Afghanistan,Gunmen,9,Indonesia
Afghanistan,Gunmen,9,Iraq
Afghanistan,Gunmen,9,Israel
Afghanistan,Gunmen,9,Jamaica
Afghanistan,Gunmen,9,Kazakhstan
Afghanistan,Gunmen,9,Kosovo
Afghanistan,Gunmen,9,Laos
Afghanistan,Gunmen,9,Lebanon
Afghanistan,Gunmen,9,Mexico
Afghanistan,Gunmen,9,Mozambique
Afghanistan,Gunmen,9,Nicaragua
Afghanistan,Gunmen,9,Nigeria
Afghanistan,Gunmen,9,Pakistan
Afghanistan,Gunmen,9,Philippines
Afghanistan,Gunmen,9,Russia
Afghanistan,Gunmen,9,Somalia
Afghanistan,Gunmen,9,South Africa
Afghanistan,Gunmen,9,Sri Lanka
Afghanistan,Gunmen,9,Sudan
Afghanistan,Gunmen,9,Syria
Afghanistan,Gunmen,9,Tajikistan
Afghanistan,Gunmen,9,Tanzania
Afghanistan,Gunmen,9,Thailand
Afghanistan,Gunmen,9,Turkey
Afghanistan,Gunmen,9,Turkmenistan
Afghanistan,Gunmen,9,Ukraine
Afghanistan,Gunmen,9,West Bank and Gaza Strip
Afghanistan,Gunmen,9,Yemen
Afghanistan,Gunmen,9,Yugoslavia
Afghanistan,Gunmen,9,Zimbabwe
Afghanistan,Muslim extremists,3,Albania
Afghanistan,Muslim extremists,3,Algeria
Afghanistan,Muslim extremists,3,Australia
Afghanistan,Muslim extremists,3,Austria
Afghanistan,Muslim extremists,3,Bahrain
Afghanistan,Muslim extremists,3,Bangladesh
Afghanistan,Muslim extremists,3,Belgium
Afghanistan,Muslim extremists,3,Bosnia-Herzegovina
Afghanistan,Muslim extremists,3,Burkina Faso
Afghanistan,Muslim extremists,3,Cameroon
Afghanistan,Muslim extremists,3,Canada
Afghanistan,Muslim extremists,3,Central African Republic
Afghanistan,Muslim extremists,3,Egypt
Afghanistan,Muslim extremists,3,France
Afghanistan,Muslim extremists,3,Germany
Afghanistan,Muslim extremists,3,Greece
Afghanistan,Muslim extremists,3,India
Afghanistan,Muslim extremists,3,Indonesia
Afghanistan,Muslim extremists,3,Iran
Afghanistan,Muslim extremists,3,Iraq
Afghanistan,Muslim extremists,3,Israel
Afghanistan,Muslim extremists,3,Jordan
Afghanistan,Muslim extremists,3,Kazakhstan
Afghanistan,Muslim extremists,3,Kenya
Afghanistan,Muslim extremists,3,Kuwait
Afghanistan,Muslim extremists,3,Kyrgyzstan
Afghanistan,Muslim extremists,3,Lebanon
Afghanistan,Muslim extremists,3,Libya
Afghanistan,Muslim extremists,3,Maldives
Afghanistan,Muslim extremists,3,Mali
Afghanistan,Muslim extremists,3,Mozambique
Afghanistan,Muslim extremists,3,Myanmar
Afghanistan,Muslim extremists,3,Netherlands
Afghanistan,Muslim extremists,3,Niger
Afghanistan,Muslim extremists,3,Nigeria
Afghanistan,Muslim extremists,3,Pakistan
Afghanistan,Muslim extremists,3,Philippines
Afghanistan,Muslim extremists,3,Russia
Afghanistan,Muslim extremists,3,Saudi Arabia
Afghanistan,Muslim extremists,3,Somalia
Afghanistan,Muslim extremists,3,South Africa
Afghanistan,Muslim extremists,3,Spain
Afghanistan,Muslim extremists,3,Sri Lanka
Afghanistan,Muslim extremists,3,Sudan
Afghanistan,Muslim extremists,3,Switzerland
Afghanistan,Muslim extremists,3,Syria
Afghanistan,Muslim extremists,3,Tanzania
Afghanistan,Muslim extremists,3,Thailand
Afghanistan,Muslim extremists,3,Tunisia
Afghanistan,Muslim extremists,3,Turkey
Afghanistan,Muslim extremists,3,Ukraine
Afghanistan,Muslim extremists,3,United Kingdom
Afghanistan,Muslim extremists,3,United States
Afghanistan,Muslim extremists,3,West Bank and Gaza Strip
Afghanistan,Muslim extremists,3,Yemen
Albania,Muslim extremists,1,Algeria
Albania,Muslim extremists,1,Australia
Albania,Muslim extremists,1,Austria
Albania,Muslim extremists,1,Bahrain
Albania,Muslim extremists,1,Bangladesh
Albania,Muslim extremists,1,Belgium
Albania,Muslim extremists,1,Bosnia-Herzegovina
Albania,Muslim extremists,1,Burkina Faso
Albania,Muslim extremists,1,Cameroon
Albania,Muslim extremists,1,Canada
Albania,Muslim extremists,1,Central African Republic
Albania,Muslim extremists,1,Egypt
Albania,Muslim extremists,1,France
Albania,Muslim extremists,1,Germany
Albania,Muslim extremists,1,Greece
Albania,Muslim extremists,1,India
Albania,Muslim extremists,1,Indonesia
Albania,Muslim extremists,1,Iran
Albania,Muslim extremists,1,Iraq
Albania,Muslim extremists,1,Israel
Albania,Muslim extremists,1,Jordan
Albania,Muslim extremists,1,Kazakhstan
Albania,Muslim extremists,1,Kenya
Albania,Muslim extremists,1,Kuwait
Albania,Muslim extremists,1,Kyrgyzstan
Albania,Muslim extremists,1,Lebanon
Albania,Muslim extremists,1,Libya
Albania,Muslim extremists,1,Maldives
Albania,Muslim extremists,1,Mali
Albania,Muslim extremists,1,Mozambique
Albania,Muslim extremists,1,Myanmar
Albania,Muslim extremists,1,Netherlands
Albania,Muslim extremists,1,Niger
Albania,Muslim extremists,1,Nigeria
Albania,Muslim extremists,1,Pakistan
Albania,Muslim extremists,1,Philippines
Albania,Muslim extremists,1,Russia
Albania,Muslim extremists,1,Saudi Arabia
Albania,Muslim extremists,1,Somalia
Albania,Muslim extremists,1,South Africa
Albania,Muslim extremists,1,Spain
Albania,Muslim extremists,1,Sri Lanka
Albania,Muslim extremists,1,Sudan
Albania,Muslim extremists,1,Switzerland
